x,y,z,value
1.900000,1.401924,0.000000,0.194610
2.100000,1.401924,0.000000,0.200187
2.000000,1.228719,0.000000,0.197420
2.200000,1.228719,0.000000,0.202995
2.100000,1.055514,0.000000,0.200217
1.900000,1.055514,0.000000,0.194657
2.300000,1.055514,0.000000,0.205804
2.400000,1.228719,0.000000,0.208573
2.500000,1.055514,0.000000,0.211404
2.600000,1.228719,0.000000,0.214144
2.700000,1.055514,0.000000,0.216981
2.800000,1.228719,0.000000,0.219700
2.900000,1.055514,0.000000,0.222548
3.000000,1.228719,0.000000,0.225241
2.900000,1.401924,0.000000,0.222402
1.600000,3.307180,0.000000,0.186167
2.600000,2.960769,0.000000,0.214018
3.100000,2.787565,0.000000,0.227865
3.000000,2.960769,0.000000,0.225094
3.100000,1.055514,0.000000,0.228127
3.000000,0.882309,0.000000,0.225426
2.400000,0.883249,0.000000,0.208653
3.100000,2.441154,0.000000,0.227891
3.000000,2.267949,0.000000,0.225105
3.100000,1.401924,0.000000,0.227889
0.900000,2.441154,0.000000,0.166516
1.000000,2.614359,0.000000,0.169372
0.900000,2.094744,0.000000,0.166419
0.900000,1.401924,0.000000,0.166620
1.000000,1.228719,0.000000,0.169387
1.200000,1.228719,0.000000,0.175022
1.100000,1.055514,0.000000,0.172199
0.900000,1.055514,0.000000,0.166490
1.000000,0.882309,0.000000,0.169350
1.200000,0.882309,0.000000,0.175076
2.000000,0.882309,0.000000,0.197410
3.200000,2.960769,0.000000,0.230576
3.100000,3.133975,0.000000,0.227873
0.800000,1.575129,0.000000,0.163835
1.700000,2.787565,0.000000,0.188953
3.000000,1.575129,0.000000,0.225100
2.800000,1.575129,0.000000,0.219600
0.800000,0.882309,0.000000,0.163531
3.192367,0.886716,0.000000,0.230705
3.200000,2.267949,0.000000,0.230636
0.800000,2.614359,0.000000,0.163800
0.900000,2.787565,0.000000,0.166615
3.200000,1.575129,0.000000,0.230539
1.100000,2.787565,0.000000,0.172193
1.000000,2.960769,0.000000,0.169421
0.800000,2.960769,0.000000,0.163845
0.900000,3.133975,0.000000,0.166652
2.800000,2.267949,0.000000,0.219565
1.800000,0.882309,0.000000,0.191946
2.200000,3.307180,0.000000,0.202902
0.900000,0.709103,0.000000,0.166508
3.098728,0.709838,0.000000,0.228173
2.899788,0.709226,0.000000,0.222596
1.892132,0.713646,0.000000,0.194514
1.698689,0.709861,0.000000,0.189252
3.300000,2.441154,0.000000,0.233460
0.702880,1.057176,0.000000,0.160869
3.295753,1.057966,0.000000,0.233479
0.700000,0.709103,0.000000,0.160825
3.273566,0.699692,0.000000,0.232681
0.698713,3.133232,0.000000,0.161057
3.297436,3.132494,0.000000,0.233246
0.700000,2.441154,0.000000,0.160888
0.799786,3.307056,0.000000,0.163855
0.999964,3.307159,0.000000,0.169422
1.400000,2.267949,0.000000,0.180547
1.200000,2.960769,0.000000,0.174998
1.700000,1.401924,0.000000,0.189024
2.900000,2.094744,0.000000,0.222331
2.700000,2.094744,0.000000,0.216795
3.199573,3.306933,0.000000,0.230643
2.999929,3.307138,0.000000,0.225132
2.999753,0.536041,0.000000,0.225555
0.600000,2.960769,0.000000,0.158256
3.400000,2.960769,0.000000,0.235880
3.400000,2.267949,0.000000,0.236107
3.300000,2.094744,0.000000,0.233386
0.598463,3.306292,0.000000,0.158260
3.396938,3.313032,0.000000,0.236039
0.899958,3.480361,0.000000,0.166605
1.300000,2.787565,0.000000,0.177779
2.500000,1.401924,0.000000,0.211324
1.700000,1.055514,0.000000,0.189098
1.600000,2.960769,0.000000,0.186165
3.300000,1.401924,0.000000,0.233293
3.400000,1.575129,0.000000,0.235823
2.500000,2.441154,0.000000,0.211240
2.200000,1.575129,0.000000,0.202952
0.599822,2.614462,0.000000,0.158360
2.100000,0.709103,0.000000,0.200030
0.700000,1.401924,0.000000,0.161104
0.600000,1.575129,0.000000,0.158429
0.700000,1.748334,0.000000,0.160921
3.100000,1.748334,0.000000,0.227827
1.099987,3.480377,0.000000,0.172194
1.199992,3.307175,0.000000,0.175000
3.099917,3.480337,0.000000,0.227939
2.899974,3.480370,0.000000,0.222382
2.799984,3.307170,0.000000,0.219588
2.699993,3.480381,0.000000,0.216823
2.599996,3.307178,0.000000,0.214032
2.499998,3.480384,0.000000,0.211259
2.799923,0.536883,0.000000,0.219580
3.500000,2.441154,0.000000,0.239072
1.766068,0.542212,0.000000,0.190967
1.600000,0.535898,0.000000,0.186749
0.800000,0.536839,0.000000,0.163634
0.600000,0.536996,0.000000,0.158030
1.000000,0.536055,0.000000,0.169437
0.505072,1.751262,0.000000,0.155475
0.600845,1.922027,0.000000,0.157985
0.371889,1.584888,0.000000,0.151946
0.504696,2.438443,0.000000,0.155525
0.600783,2.267497,0.000000,0.157846
2.300000,3.133975,0.000000,0.205683
3.400000,2.614359,0.000000,0.236367
2.699952,0.709288,0.000000,0.217001
2.617436,0.522440,0.000000,0.214692
1.499781,0.709230,0.000000,0.183660
1.399964,0.536860,0.000000,0.180826
2.800000,1.921539,0.000000,0.219567
2.600000,1.921539,0.000000,0.214031
2.500000,2.094744,0.000000,0.211248
0.999991,3.653584,0.000000,0.169370
1.299996,3.480383,0.000000,0.177784
2.999982,3.653579,0.000000,0.225185
3.494946,1.402470,0.000000,0.238442
0.487666,0.719836,0.000000,0.154482
3.493963,2.091259,0.000000,0.238617
3.398994,1.920958,0.000000,0.236064
0.401160,0.526703,0.000000,0.152246
3.592183,1.916714,0.000000,0.241106
0.900000,0.362693,0.000000,0.166535
2.900000,0.362693,0.000000,0.222549
1.470566,0.362175,0.000000,0.183057
0.502801,0.346661,0.000000,0.155005
3.096196,0.370521,0.000000,0.228382
1.100000,0.362693,0.000000,0.172322
3.627218,1.583144,0.000000,0.242093
0.371530,2.608586,0.000000,0.151879
3.586673,2.611132,0.000000,0.241780
3.686454,2.449662,0.000000,0.244052
0.424168,2.250133,0.000000,0.152911
0.412406,1.919420,0.000000,0.153098
0.799992,3.653585,0.000000,0.163754
1.500000,3.826795,0.000000,0.183365
0.179565,1.693257,0.000000,0.147146
0.173205,1.500000,0.000000,0.146763
2.699997,3.133973,0.000000,0.216800
2.100000,3.826795,0.000000,0.200121
2.200000,3.653590,0.000000,0.202907
0.161887,2.114744,0.000000,0.146820
0.800141,1.921620,0.000000,0.163635
2.300000,0.173205,0.000000,0.206122
2.200000,0.345469,0.000000,0.203204
2.400000,0.346410,0.000000,0.209109
2.270470,0.520077,0.000000,0.205109
2.008799,0.351628,0.000000,0.198045
2.399999,3.307179,0.000000,0.208470
1.500000,2.787565,0.000000,0.183367
1.600000,2.614359,0.000000,0.186156
1.400000,2.614359,0.000000,0.180563
2.492132,0.168663,0.000000,0.211258
3.801441,1.905774,0.000000,0.246403
1.902933,0.174030,0.000000,0.195033
1.400000,2.960769,0.000000,0.180581
0.172508,1.100000,0.000000,0.146606
0.375218,1.213733,0.000000,0.152139
0.338888,0.998612,0.000000,0.151422
2.500000,3.133974,0.000000,0.211246
0.197773,0.511316,0.000000,0.147655
3.498711,3.827539,0.000000,0.239099
3.598496,3.654458,0.000000,0.241630
3.815768,3.674242,0.000000,0.247482
3.697820,3.496838,0.000000,0.244302
3.399534,3.653859,0.000000,0.236320
3.835022,2.899516,0.000000,0.247977
3.824805,3.103093,0.000000,0.247356
3.673928,3.180026,0.000000,0.243533
3.635396,2.985312,0.000000,0.242580
0.501635,3.827739,0.000000,0.155205
0.600271,3.653746,0.000000,0.158152
0.398809,3.659391,0.000000,0.152530
0.499590,3.481230,0.000000,0.155410
0.298955,3.486214,0.000000,0.149593
0.393180,3.305928,0.000000,0.152518
0.293040,3.115679,0.000000,0.149489
0.492279,3.129517,0.000000,0.155223
0.395143,2.950557,0.000000,0.152514
0.498165,2.786029,0.000000,0.155258
3.500000,0.173205,0.000000,0.238809
3.598711,0.345666,0.000000,0.241220
3.815799,0.325776,0.000000,0.247443
3.700000,0.519615,0.000000,0.244183
3.500000,0.519615,0.000000,0.238335
3.614067,0.690574,0.000000,0.241453
3.707909,0.883978,0.000000,0.244132
3.531409,0.878874,0.000000,0.239482
3.615744,1.039556,0.000000,0.241365
0.171496,0.901827,0.000000,0.146948
2.000000,3.653590,0.000000,0.197331
1.100000,0.709130,0.000000,0.172288
1.500000,2.441154,0.000000,0.183354
2.700000,1.401924,0.000000,0.216875
2.600000,1.575129,0.000000,0.214068
2.400000,1.575129,0.000000,0.208517
3.404461,0.343729,0.000000,0.235883
1.500000,2.094744,0.000000,0.183354
1.700000,2.094744,0.000000,0.188955
0.900023,1.748348,0.000000,0.166541
2.600000,2.267949,0.000000,0.214019
1.000027,1.921555,0.000000,0.169299
1.300000,1.401924,0.000000,0.177817
1.400000,1.228719,0.000000,0.180650
1.300000,1.055514,0.000000,0.177868
2.799999,2.960769,0.000000,0.219565
1.300000,2.441154,0.000000,0.177750
1.500000,3.133975,0.000000,0.183376
